date,precip_mm,pet_mm,q_obs
2020-01-01,0.0,3.1,0.40
2020-01-02,2.0,3.0,0.42
2020-01-03,18.0,2.8,5.40
2020-01-04,7.0,2.9,4.10
2020-01-05,0.0,3.2,1.75
2020-01-06,0.0,3.4,0.95
2020-01-07,28.0,3.0,8.90
2020-01-08,12.0,2.7,7.20
2020-01-09,1.0,2.8,2.60
2020-01-10,0.0,3.1,1.25
2020-01-11,5.0,3.3,1.80
2020-01-12,35.0,2.6,11.30
2020-01-13,15.0,2.5,9.20
2020-01-14,0.0,2.9,3.10
2020-01-15,0.0,3.2,1.55
2020-01-16,9.0,3.5,3.20
2020-01-17,22.0,3.1,8.00
2020-01-18,4.0,2.9,4.50
2020-01-19,0.0,3.0,1.85
2020-01-20,13.0,3.2,4.90
2020-01-21,3.0,3.4,3.10
2020-01-22,0.0,3.6,1.35
2020-01-23,31.0,3.1,9.90
2020-01-24,8.0,2.8,6.00
2020-01-25,0.0,2.9,2.15
2020-01-26,6.0,3.0,2.45
2020-01-27,17.0,3.3,6.20
2020-01-28,0.0,3.5,2.10
2020-01-29,0.0,3.6,1.05
2020-01-30,24.0,3.2,7.75

