like1,like2,like3,parrunoff_coeff,parsoil_capacity,paret_factor,parquick_recession,parbase_recession,chain
0.100056954,0.22863865,0.0035900509,0.34963208,238.66429,1.1515921,0.6289268,0.043224566,0.0
0.3201272,0.38703638,0.094040826,0.17479561,33.35923,1.326029,0.63089204,0.17847778,1.0
1.3406374,1.0828342,0.50382185,0.0664676,243.07927,1.2821754,0.31987128,0.049547117,2.0
0.4022631,0.21633764,0.00034872227,0.19672361,89.975716,0.8821834,0.49555603,0.076351136,3.0
0.45907107,0.403837,0.39188838,0.5394823,52.083588,0.579788,0.4430895,0.11673715,4.0
0.46780446,0.56886566,0.40607154,0.67814076,65.92497,0.86850476,0.62393165,0.016380351,5.0
2.5445025,1.4063922,0.6402885,0.5360359,59.220547,0.28456706,0.9091084,0.24157985,6.0
1.1085916,0.88000417,0.61935425,0.69671786,90.061165,0.32697374,0.69738644,0.11283736,7.0
1.4800283,0.7903783,0.16434485,0.14763059,133.89069,0.24470508,0.8774563,0.0684011,8.0
0.20306164,0.33222333,0.30115432,0.5800178,91.69355,0.87608844,0.58736825,0.05028934,9.0
3.9284036,1.72417,0.99759614,0.8256677,198.28055,1.4213486,0.8658619,0.15148549,10.0
0.9701671,0.6111029,0.46261728,0.78749937,40.353275,0.45477772,0.18618183,0.084705934,11.0
0.52452254,0.47275636,0.43442532,0.5394823,52.083588,0.51906335,0.49048048,0.11673715,0.0
2.2894948,1.331198,0.60583764,0.5360359,59.220547,0.34217864,0.9091084,0.24157985,1.0
3.541117,1.681264,0.61858964,0.1580192,62.063847,0.28456706,0.9091084,0.24157985,2.0
0.677318,0.7258626,0.17350362,0.0664676,243.07927,1.2821754,0.9091084,0.24157985,3.0
0.40198776,0.27945343,0.0015364322,0.17479561,33.35923,1.326029,0.31987128,0.05737259,4.0
0.5556237,0.6213391,0.44223142,0.69671786,65.92497,0.87340134,0.62393165,0.016380351,5.0
0.6910714,0.6715254,0.5291808,0.67971593,60.60682,0.86850476,0.62393165,0.22864923,6.0
1.2744639,0.8333903,0.3460796,0.17479561,90.061165,0.39165038,0.69738644,0.11283736,7.0
1.0806623,0.89744866,0.54361933,0.69671786,90.061165,0.32697374,0.7379624,0.043224566,8.0
0.6858069,0.66040576,0.41948232,0.5360359,61.50558,0.27075255,0.62393165,0.016380351,9.0
0.25193787,0.16097254,0.040790442,0.16564348,33.35923,1.3506098,0.49555603,0.08853229,10.0
0.54993176,0.3944655,0.07600806,0.19672361,89.975716,0.8821834,0.3573639,0.049547117,11.0
0.47338352,0.4111487,0.39776632,0.5394823,50.429924,0.579788,0.43941617,0.11673715,0.0
0.25531667,0.359541,0.098837994,0.34963208,238.66429,1.1515921,0.49555603,0.076351136,1.0
0.09923507,0.20241612,0.07842956,0.36672673,233.60359,1.1515921,0.6289268,0.05737259,2.0
0.19417709,0.3120636,0.297465,0.5800178,91.69355,0.87608844,0.56202704,0.05028934,3.0
0.19078298,0.3509517,0.27057767,0.5800178,33.35923,1.326029,0.63089204,0.17847778,4.0
0.49053925,0.4156303,0.38505304,0.49382466,50.95002,0.579788,0.45520857,0.10031518,5.0
0.114803255,0.25683132,0.22075365,0.5394823,46.154972,1.326029,0.6277369,0.17847778,6.0
0.18914402,0.27230644,0.24645653,0.5394823,89.975716,0.8821834,0.47681502,0.076351136,7.0
0.5110385,0.49321896,0.48543757,0.69671786,65.92497,0.8821834,0.45353442,0.076351136,8.0
0.45907107,0.403837,0.39188838,0.5394823,52.083588,0.579788,0.4430895,0.11673715,9.0
0.57766825,0.5035051,0.4567623,0.5394823,52.083588,0.47757068,0.49048048,0.11673715,10.0
0.25879067,0.3164057,0.029759053,0.22560821,35.748466,1.326029,0.6289268,0.04349283,11.0
0.22719021,0.35119662,0.32078275,0.5800178,80.13615,0.87608844,0.58736825,0.07484231,0.0
0.1798856,0.10672693,0.062868975,0.36672673,33.35923,1.3713641,0.49555603,0.08853229,1.0
0.6230509,0.6603398,0.33482602,0.17479561,233.60359,1.1515921,0.6289268,0.042629216,2.0
0.10465534,0.22485277,0.02633123,0.34963208,238.66429,1.1515921,0.6289268,0.05028934,3.0
0.20306164,0.33222333,0.30115432,0.5800178,91.69355,0.87608844,0.58736825,0.05028934,4.0
0.40403077,0.28958556,0.020467263,0.17479561,33.35923,1.3677514,0.31987128,0.05737259,5.0
0.25255987,0.16176993,0.042652257,0.16564348,33.35923,1.3506098,0.49555603,0.09269972,6.0
0.49007237,0.56748915,0.19648445,0.17479561,24.44625,1.1515921,0.6289268,0.05737259,7.0
0.100056954,0.22863865,0.0035900509,0.34963208,238.66429,1.1515921,0.6289268,0.043224566,8.0
0.24582647,0.15465266,0.034957174,0.17479561,33.35923,1.3506098,0.49555603,0.074906886,9.0
0.36750042,0.22283685,0.12646207,0.16564348,58.72369,1.3506098,0.58736825,0.05028934,10.0
0.43340176,0.50988775,0.15555094,0.17479561,31.597198,1.1390983,0.6289268,0.05737259,11.0
