like1,parrunoff_coeff,parsoil_capacity,paret_factor,parquick_recession,parbase_recession,chain
-72.10252,0.24943379,136.79517,0.8499467,0.44565937,0.21706279,0.0
-67.52203,0.43721646,223.08858,0.678323,0.7463516,0.1302625,1.0
-77.260414,0.55034673,106.58657,0.9966346,0.24645351,0.1869631,2.0
-60.466103,0.33477813,165.43034,0.5096376,0.5443656,0.064577185,3.0
-95.44746,0.7533486,46.24203,1.1481482,0.8474748,0.03411039,4.0
-82.22737,0.14763059,194.30461,1.3158442,0.35650674,0.099767774,5.0
-79.36011,0.6519183,73.72978,0.3587429,0.6476694,0.15990475,6.0
-72.54734,0.19161648,153.5907,1.0129455,0.7041693,0.081890196,0.0
-82.216805,0.05480783,192.43408,0.5709893,0.640977,0.16802052,1.0
-79.26495,0.27073455,203.17955,0.9966346,0.24645351,0.10339629,2.0
-76.52902,0.55221415,169.14015,0.47922122,0.42792898,0.16761918,3.0
-61.940865,0.35291952,46.24203,1.4678507,0.8474748,0.058068078,4.0
-72.01147,0.46872646,194.30461,1.3158442,0.35650674,0.099767774,5.0
-76.4097,0.48819166,152.76901,0.66770715,0.8849652,0.13268276,6.0
-75.69171,0.2497249,42.099804,1.032107,0.7041693,0.081890196,0.0
-48.629868,0.38412866,144.19006,0.678323,0.7463516,0.1302625,1.0
-72.7891,0.55034673,106.58657,0.59064263,0.3910697,0.23136057,2.0
-79.138664,0.15135168,165.43034,0.5096376,0.5443656,0.064577185,3.0
-60.547062,0.36779287,46.24203,1.2898507,0.73715085,0.124828056,4.0
-77.34238,0.46872646,194.30461,0.32546884,0.35650674,0.17850249,5.0
-54.29861,0.48819166,92.2535,1.1045629,0.6451116,0.21549568,6.0
-79.88191,0.19161648,153.5907,0.34254354,0.7041693,0.081890196,0.0
-73.91326,0.23783596,69.587715,1.0849857,0.8320127,0.14177103,1.0
-79.571266,0.55034673,67.87074,0.31442782,0.5426289,0.19613528,2.0
-84.91373,0.33477813,27.265099,0.5096376,0.5443656,0.064577185,3.0
-68.157166,0.36779287,35.498386,1.2898507,0.73715085,0.124828056,4.0
-78.31702,0.6393195,135.88605,1.3158442,0.35650674,0.17562237,5.0
-60.186565,0.48819166,169.89703,1.1045629,0.61100656,0.09377564,6.0
-70.85674,0.19161648,153.5907,1.0129455,0.7041693,0.113837436,0.0
-52.717934,0.38412866,198.61069,0.61307734,0.8729321,0.010771419,1.0
-77.58257,0.656805,94.948105,0.9286731,0.36584726,0.23136057,2.0
-61.007874,0.33477813,185.68564,0.34780213,0.5443656,0.064577185,3.0
-59.03065,0.36779287,60.77883,1.3193243,0.49306232,0.14279471,4.0
-78.20619,0.5894201,194.30461,0.3324675,0.35650674,0.075588435,5.0
-66.49217,0.48819166,110.64285,1.1045629,0.39419863,0.13037147,6.0
-92.9647,0.091724925,193.50497,1.2801218,0.5479456,0.006766524,0.0
-72.691154,0.38412866,235.71964,0.678323,0.4126102,0.1302625,1.0
-72.7891,0.55034673,106.58657,0.59064263,0.3910697,0.23136057,2.0
-62.674168,0.33477813,236.7087,0.23808186,0.5443656,0.064577185,3.0
-72.62921,0.098841645,60.77883,1.2419534,0.5382954,0.060484387,4.0
-72.54277,0.3792477,194.30461,0.6529442,0.35650674,0.099767774,5.0
-82.93843,0.636321,151.91548,0.44747844,0.32314825,0.21549568,6.0
-81.60059,0.19161648,156.92758,1.1842583,0.82231426,0.0064990935,0.0
-65.14503,0.47819468,83.4127,0.678323,0.7463516,0.15504076,1.0
-73.93723,0.55034673,125.46592,0.59064263,0.3949337,0.20082277,2.0
-72.88444,0.2382206,234.51613,0.34780213,0.5443656,0.03509133,3.0
-70.21334,0.36779287,96.19241,1.2268041,0.36158007,0.09474905,4.0
-69.53603,0.26868397,172.44409,1.1641519,0.47997597,0.13821313,5.0
-73.9767,0.5489807,85.5312,0.8741312,0.77960104,0.23340562,6.0
-67.27488,0.27019912,101.65907,0.81810915,0.58050394,0.12510039,0.0
-77.03307,0.52945507,179.50186,0.22053362,0.663124,0.20325923,1.0
-66.66027,0.5749294,25.643776,1.3312643,0.35436827,0.2051072,2.0
-68.23077,0.33477813,140.95894,0.34780213,0.46556216,0.064577185,3.0
-57.25615,0.36779287,60.77883,1.3193243,0.51148087,0.14279471,4.0
-84.24551,0.15785137,143.03291,1.1641519,0.35592303,0.06659532,5.0
-72.182106,0.16937748,92.2535,0.9318875,0.76023716,0.21549568,6.0
-84.51012,0.36360922,81.17818,0.43114477,0.77930033,0.119608775,0.0
-70.54627,0.47395524,144.19006,1.2659792,0.35337812,0.1302625,1.0
-74.465935,0.49456346,25.643776,1.1262128,0.25028813,0.12518536,2.0
-59.528973,0.45892897,125.18566,0.23246811,0.51174664,0.064577185,3.0
-49.225853,0.36779287,60.77883,1.3193243,0.83772093,0.14279471,4.0
-69.312584,0.19039619,172.44409,0.9769437,0.70058507,0.14610365,5.0
-62.478977,0.60291743,38.869587,1.1045629,0.48209432,0.21549568,6.0
-52.686337,0.2957886,101.65907,1.4977385,0.688042,0.24148187,0.0
-80.001564,0.61966133,144.19006,0.6039512,0.7463516,0.052361887,1.0
-81.56512,0.44821241,207.48604,1.0740803,0.1503895,0.088221356,2.0
-78.030785,0.6898614,66.427155,0.28134426,0.25044772,0.038296092,3.0
-54.242107,0.47658968,60.77883,1.3193243,0.47022635,0.14279471,4.0
-61.048103,0.2845014,231.48305,0.40470374,0.70058507,0.14610365,5.0
-62.289074,0.48819166,123.52102,0.80508494,0.6451116,0.21549568,6.0
-63.25558,0.374555,81.44129,1.048623,0.44838443,0.18127693,0.0
-80.22881,0.638815,49.314392,0.678323,0.7463516,0.1302625,1.0
-80.27946,0.5459943,55.953827,0.37879077,0.35436827,0.2051072,2.0
-86.05799,0.45892897,91.21747,0.24060936,0.8037418,0.064577185,3.0
-49.225853,0.36779287,60.77883,1.3193243,0.83772093,0.14279471,4.0
-79.28151,0.072525255,231.48305,0.40470374,0.8561676,0.1786655,5.0
-80.93383,0.48819166,192.65433,1.1045629,0.9320529,0.15617767,6.0
-68.96736,0.2957886,140.78267,1.4977385,0.43842512,0.24148187,0.0
-74.98873,0.38412866,73.7293,0.678323,0.7463516,0.1302625,1.0
-68.3839,0.5749294,86.75014,0.7758807,0.5976097,0.2051072,2.0
-67.58403,0.5576548,161.4015,0.6775434,0.4375301,0.054507226,3.0
-72.46726,0.13589834,199.3754,1.176278,0.8632008,0.1682763,4.0
-71.17003,0.16798379,231.48305,0.50928307,0.70058507,0.14610365,5.0
-83.63825,0.39590323,32.804012,0.9600102,0.78440374,0.18859449,6.0
-43.215946,0.3736373,113.80267,1.4977385,0.63540345,0.24148187,0.0
-64.24487,0.21878847,125.99839,1.0588009,0.9378425,0.08462086,1.0
-72.170044,0.505592,34.9494,1.3825254,0.8622799,0.23108108,2.0
-64.480446,0.40255293,178.6662,0.29648653,0.46293592,0.072445795,3.0
-69.59576,0.27330047,92.81509,0.83139414,0.76043695,0.14279471,4.0
-75.84937,0.1156264,229.29779,0.892134,0.83223206,0.12529074,5.0
-82.09798,0.7026753,92.2535,0.26628032,0.47165483,0.21549568,6.0
