like1,parrunoff_coeff,parsoil_capacity,paret_factor,parquick_recession,parbase_recession,chain
-0.9485992,0.79285717,52.865715,1.2585714,0.7557143,0.18350081,1.0
0.4621197,0.66714287,121.86272,0.75714284,0.3557143,0.047002487,1.0
0.35368264,0.54142857,190.85971,0.2557143,0.33285713,0.096001886,1.0
0.59277296,0.4157143,243.42886,0.62714285,0.73285717,0.23250021,1.0
0.90401226,0.29,174.43185,1.1285714,0.7785714,0.13450141,1.0
-0.13435075,0.16428572,105.43486,1.3885714,0.37857142,0.008502957,1.0
0.407383,0.05,36.43786,0.88714284,0.31,0.14500129,1.0
-0.73469055,0.17571428,69.29357,0.3857143,0.71,0.22200035,1.0
0.79601276,0.3014286,138.29057,0.49714285,0.80142856,0.08550201,1.0
0.69448113,0.42714286,207.28757,0.99857146,0.40142858,0.057502355,1.0
0.19091985,0.55285716,227.001,1.5,0.28714284,0.19400069,1.0
-0.18666711,0.6785714,158.004,1.0171429,0.68714285,0.17300095,1.0
-1.578743,0.8042857,89.007,0.5157143,0.8242857,0.036502615,1.0
0.040792953,0.7814286,20.01,0.36714286,0.4242857,0.10650176,1.0
0.2807298,0.6557143,85.72143,0.8685714,0.2642857,0.24300009,1.0
0.6912696,0.53,154.71843,1.37,0.6642857,0.12400154,1.0
0.9092507,0.40428573,223.71542,1.1471429,0.8471429,0.019002829,1.0
0.583072,0.27857143,210.57314,0.6457143,0.44714287,0.15550116,1.0
-0.11640347,0.15285714,141.57614,0.23714286,0.24142857,0.21150047,1.0
0.09615436,0.061428573,72.57914,0.7385714,0.6414286,0.07500214,1.0
-0.0119962655,0.18714286,33.152287,1.24,0.87,0.06800223,1.0
0.70475614,0.31285715,102.149284,1.2771429,0.47,0.20450056,1.0
0.30359954,0.43857142,171.14629,0.7757143,0.21857142,0.16250107,1.0
0.7448912,0.5642857,240.14328,0.2742857,0.6185714,0.026002742,1.0
-1.4189318,0.69,194.14528,0.6085714,0.89285713,0.11700163,1.0
-0.4446495,0.8157143,125.148285,1.11,0.49285713,0.25,1.0
0.10475952,0.77,56.151287,1.4071429,0.19571428,0.11350167,1.0
0.6948271,0.64428574,49.580143,0.9057143,0.5957143,0.0295027,1.0
0.17580213,0.51857144,118.57714,0.40428573,0.91571426,0.16600102,1.0
0.6829478,0.39285713,187.57414,0.47857141,0.5157143,0.2010006,1.0
0.15062508,0.26714286,246.71443,0.98,0.17285714,0.06450227,1.0
0.22915977,0.14142857,177.71742,1.4814286,0.57285714,0.0785021,1.0
0.30180866,0.07285714,108.72043,1.0357143,0.93857145,0.21500044,1.0
0.024342079,0.19857143,39.723427,0.5342857,0.5385714,0.1520012,1.0
0.08214557,0.32428572,66.008,0.34857142,0.15,0.015502871,1.0
0.83538276,0.45,135.005,0.85,0.55,0.1275015,1.0
-0.61706966,0.5757143,204.002,1.3514286,0.95,0.23950014,1.0
-0.19438362,0.7014286,230.28658,1.1657143,0.56142855,0.1030018,1.0
-0.26799467,0.82714283,161.28957,0.6642857,0.16142857,0.040002573,1.0
-0.14678192,0.75857145,92.29257,0.21857142,0.5271429,0.1765009,1.0
-1.4568133,0.63285714,23.295572,0.72,0.92714286,0.19050072,1.0
0.94078016,0.50714284,82.43586,1.2214285,0.58428574,0.0540024,1.0
0.29320654,0.38142857,151.43286,1.2957143,0.18428572,0.08900197,1.0
0.6208354,0.2557143,220.42986,0.7942857,0.5042857,0.2255003,1.0
0.5369887,0.13,213.85872,0.29285714,0.9042857,0.14150132,1.0
-0.006219993,0.084285714,144.86171,0.59,0.60714287,0.005003,1.0
0.24547456,0.21,75.864716,1.0914285,0.20714286,0.13800137,1.0
0.8093534,0.33571428,29.866714,1.4257143,0.48142856,0.22900026,1.0
0.6996871,0.46142858,98.863716,0.9242857,0.8814286,0.09250193,1.0
0.6001995,0.5871429,167.86072,0.42285714,0.63,0.05050244,1.0
-0.5717985,0.7128571,236.85771,0.46,0.23,0.18700077,1.0
-0.92808264,0.8385714,197.43086,0.9614286,0.45857143,0.18000086,1.0
-1.2446808,0.74714285,128.43385,1.4628571,0.8585714,0.04350253,1.0
0.5971896,0.62142855,59.436855,1.0542858,0.6528571,0.09950184,1.0
0.22671415,0.49571428,46.29457,0.55285716,0.25285715,0.23600017,1.0
0.46158457,0.37,115.29157,0.33,0.43571427,0.13100146,1.0
0.5722427,0.24428572,184.28857,0.8314286,0.8357143,0.012002914,1.0
0.41648653,0.11857143,250.0,1.3328571,0.6757143,0.14850125,1.0
0.04643831,0.095714286,181.003,1.1842858,0.27571428,0.21850039,1.0
0.41835496,0.22142857,112.006,0.68285716,0.41285715,0.08200206,1.0
-1.9767656,0.34714285,43.009,0.2,0.81285715,0.061002314,1.0
0.5487406,0.47285715,62.722427,0.7014286,0.69857144,0.19750065,1.0
0.36956438,0.5985714,131.71942,1.2028571,0.29857144,0.16950099,1.0
0.27146074,0.7242857,200.71643,1.3142858,0.39,0.033002656,1.0
-2.7689776,0.85,233.57214,0.81285715,0.79,0.11000171,1.0
-0.992884,0.73571426,164.57515,0.31142858,0.7214286,0.24650005,1.0
0.43944615,0.61,95.57814,0.5714286,0.32142857,0.120501585,1.0
0.70198685,0.4842857,26.581142,1.0728571,0.36714286,0.022502786,1.0
0.9673212,0.35857144,79.15028,1.4442858,0.76714283,0.15900111,1.0
0.8003065,0.23285714,148.1473,0.94285715,0.7442857,0.20800051,1.0
-0.019663807,0.10714286,217.14429,0.44142857,0.34428573,0.07150219,1.0
