like1,parx,pary,chain
653.02295,-0.5018395,2.8028572,1.0
28.46687,0.9279758,1.3946339,1.0
520.5686,-1.3759254,-0.37602192,1.0
51.211647,-1.7676655,2.4647045,1.0
278.81143,0.40446004,1.8322903,1.0
72.159355,-1.917662,2.8796394,1.0
368.33926,1.3297706,-0.15064356,1.0
360.92044,-1.2727002,-0.26638195,1.0
26.787928,-0.78303105,1.0990257,1.0
2.4432414,-0.27221993,0.16491656,1.0
41.547653,0.44741157,-0.44202456,1.0
8.453309,-0.83142143,0.46544737,1.0
446.519,-0.17572007,2.140704,1.0
19.76045,-1.2013049,1.0569377,1.0
90.80807,0.36965826,-0.8141984,1.0
25.621353,0.43017942,-0.31790352,1.0
12.858275,-1.7397937,2.7955422,1.0
153.37062,1.8625281,2.2335894,1.0
152.04416,-0.7815449,-0.6093115,1.0
4.801615,0.7369321,0.76061,1.0
